,City Name,Tempurature,Latitude,Longitude,Wind Spd,Humidity %,Cloud %
0,Ushuaia,43.57,-54.8,-68.3,41.38,93,90
1,Narsaq,10.4,60.92,-46.05,9.55,51,62
2,Dikson,-8.95,73.51,80.55,12.17,100,100
3,Longyearbyen,-7.6,78.22,15.64,2.24,83,20
4,Qaanaaq,-13.72,77.48,-69.36,4.76,46,0
5,Marawi,78.01,8.0,124.29,5.01,90,6
6,Port Alfred,72.0,-33.59,26.89,1.99,95,99
7,Busselton,61.56,-33.65,115.33,13.98,45,0
8,Albany,41.07,42.6,-73.97,10.29,52,75
9,Hermanus,73.99,-34.42,19.23,4.0,84,33
10,Altamira,87.8,-3.2,-52.21,2.24,74,40
11,Hobyo,74.34,5.35,48.53,19.37,73,0
12,Mandeville,84.2,18.04,-77.51,20.8,66,20
13,Huarmey,79.16,-10.07,-78.15,10.69,54,3
14,Bredasdorp,73.99,-34.53,20.04,4.0,84,49
15,Saint-Philippe,76.66,-21.36,55.77,6.93,83,48
16,Touros,84.2,-5.2,-35.46,17.22,66,20
17,Punta Arenas,48.61,-53.15,-70.92,26.4,61,75
18,Kulu,34.05,39.1,33.08,7.85,74,0
19,Souillac,80.01,-20.52,57.52,10.29,88,40
20,Pisco,73.33,-13.7,-76.22,6.93,30,99
21,Mosquera,66.2,4.71,-74.23,13.87,42,40
22,General Roca,77.0,-39.03,-67.58,12.75,15,0
23,The Valley,80.26,18.22,-63.06,14.99,57,40
24,Castro,72.3,-24.79,-50.01,4.59,96,100
25,Tasiilaq,15.8,65.61,-37.64,4.7,47,100
26,Marsabit,78.13,2.33,37.99,17.78,53,0
27,Goderich,37.24,43.75,-81.72,1.99,94,100
28,Suruc,39.2,36.98,38.42,4.07,51,0
29,Normandin,9.46,48.83,-72.53,2.24,78,90
30,Upernavik,-4.83,72.79,-56.15,1.9,96,100
31,Sakskobing,44.85,54.8,11.63,5.01,84,100
32,Hong Kong,65.64,22.29,114.16,18.34,82,40
33,Grindavik,32.86,63.84,-22.43,12.75,69,100
34,Sao Joao da Barra,82.4,-21.64,-41.05,12.75,58,20
35,Porbandar,67.69,21.64,69.61,11.12,50,0
36,Benguela,79.16,-12.58,13.41,1.72,79,56
37,Rawson,57.42,-43.3,-65.1,14.79,49,100
38,Sao Felipe,78.37,-14.82,-41.38,7.27,51,50
39,Darnah,59.63,32.77,22.64,29.75,77,100
40,Jamestown,43.68,42.1,-79.24,6.93,56,1
41,Port Elizabeth,73.4,-33.92,25.57,5.82,94,75
42,Talnakh,-2.2,69.49,88.4,22.37,77,100
43,Valparaiso,75.47,-33.04,-71.63,20.8,27,67
44,Quelimane,75.2,-17.88,36.89,4.7,100,75
45,Los Llanos de Aridane,64.4,28.66,-17.92,9.17,45,34
46,Caiaponia,81.12,-16.96,-51.81,0.87,80,94
47,Sistranda,39.2,63.73,8.83,18.34,64,75
48,Constitucion,64.6,-35.33,-72.42,21.0,51,0
49,Iqaluit,-13.0,63.75,-68.51,3.36,69,90
50,Lebu,60.69,-37.62,-73.65,14.7,48,0
51,Nerja,46.45,36.76,-3.89,1.12,80,29
52,Ponta Delgada,59.0,37.73,-25.67,14.99,77,20
53,Torbay,17.22,47.67,-52.73,6.93,72,90
54,Florianopolis,81.99,-27.61,-48.5,18.34,74,20
55,Bloemfontein,68.0,-29.12,26.21,1.12,60,20
56,Saint George,50.27,37.1,-113.58,2.33,42,1
57,Cape Town,74.5,-33.93,18.42,20.8,69,0
58,Sechura,70.36,-5.56,-80.82,17.05,89,23
59,Cidreira,78.6,-30.18,-50.21,27.96,83,96
60,Vila Franca do Campo,59.0,37.72,-25.43,14.99,77,20
61,Nuuk,14.0,64.18,-51.72,20.8,61,40
62,Dubrovnik,43.61,42.65,18.09,5.82,50,0
63,Nova Venecia,77.16,-18.71,-40.4,5.77,89,39
64,George Town,78.93,5.41,100.34,6.93,74,20
65,Pangnirtung,-22.0,66.15,-65.71,4.47,55,5
66,Kruisfontein,68.95,-34.0,24.73,1.1,98,27
67,Shieli,23.7,44.17,66.75,2.24,88,100
68,Saerevere,44.01,58.79,25.43,1.99,99,100
69,Srebrenica,29.7,44.11,19.3,1.12,84,0
70,Santa Isabel do Rio Negro,85.64,-0.41,-65.02,0.65,72,17
71,East London,76.57,-33.02,27.91,15.19,82,51
72,Arraial do Cabo,82.4,-22.97,-42.03,26.4,65,0
73,Chui,74.35,-33.7,-53.46,12.3,87,100
74,Askarovo,24.8,53.34,58.51,6.71,73,75
75,Santa Helena de Goias,82.67,-17.81,-50.6,4.32,77,100
76,Ostrovnoy,19.78,68.05,39.51,5.14,97,57
77,Manchester,42.06,53.48,-2.24,8.05,75,75
78,Daoukro,77.5,7.06,-3.96,0.69,28,0
79,Vardo,26.65,70.37,31.11,24.16,92,75
80,Coquimbo,75.99,-29.95,-71.34,9.57,53,0
81,Gornopravdinsk,-2.11,60.05,69.9,6.93,95,0
82,Oranjemund,66.04,-28.55,16.43,9.75,93,92
83,Channahon,35.74,41.43,-88.23,5.82,100,90
84,Shache,21.52,38.42,77.24,3.51,78,0
85,Lircay,55.4,-12.99,-74.72,3.36,87,90
86,Japura,73.08,-0.32,102.35,0.49,98,100
87,Bay Saint Louis,77.02,30.31,-89.33,3.09,73,75
88,Bambous Virieux,79.95,-20.34,57.76,10.29,88,40
89,Tessalit,59.0,20.2,1.01,14.05,17,0
90,Mangai,76.05,-4.05,19.53,1.97,85,100
91,Vicuna,75.99,-30.03,-70.71,9.13,53,10
92,Olinda,84.2,-8.01,-34.86,10.29,66,20
93,Montepuez,71.38,-13.13,39.0,2.13,97,100
94,Lagoa,57.34,39.05,-27.98,25.68,66,23
95,Muzhi,12.06,65.37,64.67,7.11,95,100
96,Chabahar,57.72,25.29,60.64,2.59,46,0
97,Mobaye,74.66,4.32,21.18,1.05,33,4
98,Guaruja,84.61,-23.99,-46.26,5.82,66,20
99,Acarau,79.14,-2.89,-40.12,6.6,79,13
100,Hithadhoo,81.66,-0.6,73.08,11.36,76,100
101,Nkayi,74.28,-4.18,13.29,1.92,94,88
102,Quryq,38.3,43.2,51.65,8.99,69,100
103,Mersa Matruh,57.2,31.35,27.25,9.17,82,75
104,Yei,76.8,4.09,30.68,4.12,40,61
105,Mar del Plata,64.83,-38.0,-57.56,16.11,39,40
106,Eyl,74.73,7.98,49.82,27.92,66,27
107,Sur,63.21,22.57,59.53,21.36,52,1
108,Shahgarh,61.14,24.32,79.13,8.14,70,72
109,Salalah,66.2,17.02,54.09,16.11,37,73
110,Codrington,58.26,-38.27,141.97,22.39,77,56
111,Moen,22.57,69.13,18.61,19.46,92,90
112,At-Bashi,-9.0,41.17,75.81,2.82,81,0
113,Springbok,79.07,-29.66,17.89,7.56,38,0
114,Ilulissat,3.2,69.22,-51.1,17.22,41,20
115,Takoradze,79.57,4.88,-1.76,4.43,81,0
116,Nizhnevartovsk,-7.6,60.93,76.55,2.24,83,62
117,Kintampo,82.13,8.06,-1.73,2.24,19,27
118,Shirgaon,72.14,19.7,72.7,13.22,63,0
119,Lekoni,84.4,-1.58,14.26,3.69,51,99
120,Nanortalik,20.08,60.14,-45.24,8.16,42,28
121,Cantagalo,72.39,-21.98,-42.37,4.0,95,85
122,Cairo,63.25,30.06,31.25,20.8,63,75
123,Ratanpur,59.02,22.3,82.17,2.68,61,5
124,Ponta do Sol,60.78,32.67,-17.1,10.29,72,40
125,Berlevag,26.2,70.86,29.09,13.87,68,75
126,Surubim,89.6,-7.83,-35.75,14.99,40,0
127,Bellavista,79.7,-7.06,-76.59,6.93,59,75
128,Ivanjica,29.17,43.58,20.23,4.9,100,0
129,Lodja,75.6,-3.48,23.43,1.92,71,29
130,Tocopilla,75.25,-22.09,-70.2,11.56,9,43
131,Olafsvik,34.48,64.89,-23.71,17.83,88,100
132,Point Pedro,79.03,9.82,80.23,11.01,62,100
133,Sakakah,48.2,29.97,40.21,6.93,29,0
134,Sangueya,75.63,10.7,-14.37,3.89,68,0
135,Rundu,73.4,-17.93,19.77,3.36,83,79
136,Margate,44.15,51.38,1.39,12.75,87,0
137,Puerto Ayora,81.97,-0.74,-90.35,19.46,58,75
138,Ndioum,75.2,16.51,-14.65,2.24,9,100
139,Mana,77.95,5.66,-53.78,4.34,84,99
140,Skjervoy,28.4,70.03,20.97,6.93,74,75
141,Weligama,70.23,5.97,80.42,2.48,87,42
142,Jaguariaiva,82.99,-24.25,-49.71,1.99,78,79
143,Rumford,36.18,44.55,-70.55,4.92,69,90
144,San Cristobal,93.2,7.77,-72.22,19.46,34,40
145,Palagiano,43.03,40.58,17.04,8.05,100,75
146,Baglung,37.53,28.27,83.59,7.58,46,100
147,Apeldoorn,43.12,52.21,5.97,9.17,93,33
148,Vila Velha,81.1,-20.33,-40.29,8.05,65,40
149,Mahebourg,79.99,-20.41,57.7,10.29,88,40
150,Zhezkazgan,2.7,47.8,67.71,7.18,91,0
151,Doha,61.41,25.29,51.53,6.93,63,0
152,Terme,44.6,41.21,36.97,2.24,81,75
153,Husavik,35.6,66.04,-17.34,5.82,91,75
154,Ribeira Grande,57.2,38.52,-28.7,16.11,71,40
155,Sao Filipe,70.9,14.9,-24.5,15.79,67,54
156,Inta,25.25,66.03,60.17,18.86,93,100
157,Sao Gabriel da Cachoeira,81.7,-0.13,-67.09,2.84,92,73
158,Vestmannaeyjar,40.87,63.44,-20.27,9.95,72,100
159,Sept-Iles,15.37,50.2,-66.38,4.7,78,40
160,Bathurst,65.08,-33.42,149.58,2.37,86,100
161,Nalut,48.09,30.33,10.85,8.9,77,14
162,Roald,42.57,62.58,6.13,16.11,67,100
163,Beyneu,31.78,45.32,55.2,2.21,86,98
164,Vestmanna,39.2,62.16,-7.17,19.46,86,91
165,Pangody,-11.13,65.85,74.49,10.11,98,28
166,Matadi,76.15,-5.82,13.45,3.62,95,87
167,La Mana,65.8,-0.93,-79.22,21.92,48,40
168,Nouadhibou,68.0,20.93,-17.03,10.29,48,0
169,Tenenkou,70.41,14.46,-4.92,10.49,12,34
170,Iquique,75.2,-20.22,-70.14,12.75,53,98
171,Praia da Vitoria,53.6,38.73,-27.07,21.72,81,20
172,Fort Myers Beach,80.51,26.45,-81.95,9.17,48,40
173,Gamba,80.49,-2.65,10.0,0.74,82,100
174,Kibala,73.4,9.11,18.35,4.18,49,0
175,Concarneau,46.02,47.88,-3.92,4.7,81,75
176,Razvilnoye,31.1,46.24,41.3,5.91,88,0
177,Muros,54.5,42.78,-9.06,9.17,93,75
178,Ukmerge,40.55,55.25,24.75,9.17,70,100
179,Esil,-0.56,51.96,66.4,7.58,98,14
180,San Fernando,74.62,15.03,120.69,4.7,83,40
181,Aripuana,89.42,-9.17,-60.63,1.01,59,21
182,Taltal,68.04,-25.4,-70.48,6.62,67,88
183,Henties Bay,64.0,-22.12,14.28,3.62,93,82
184,Bilokurakyne,27.61,49.53,38.73,7.45,94,0
185,Ibiruba,83.84,-28.63,-53.09,4.36,76,94
186,Cienfuegos,82.17,22.15,-80.44,11.41,54,40
187,Saldanha,67.75,-33.01,17.94,15.43,88,0
188,Findhorn,43.57,57.66,-3.61,27.51,75,82
189,Bajos de Haina,79.7,18.42,-70.03,6.93,94,75
190,Anori,84.78,-3.77,-61.64,2.71,67,99
191,Itarema,79.14,-2.92,-39.92,6.6,79,13
192,Pivijay,84.2,10.46,-74.62,17.22,66,20
193,Plaster Rock,22.01,46.91,-67.39,4.7,79,90
194,Andenes,32.0,69.31,16.12,8.05,72,75
195,Cap Malheureux,79.83,-19.98,57.61,10.29,88,40
196,Lola,74.07,7.8,-8.53,2.51,31,0
197,Mauriti,89.6,-7.39,-38.77,3.36,43,20
198,Killybegs,42.06,54.63,-8.45,18.34,70,40
199,Sandusky,38.97,41.35,-83.13,3.36,86,90
200,Saint Anthony,19.8,45.02,-93.22,13.87,73,90
201,Najran,51.8,17.49,44.13,2.13,40,0
202,Sisimiut,-2.65,66.94,-53.67,11.68,63,82
203,Kattivakkam,74.82,13.22,80.32,8.41,78,20
204,Kuito,60.91,-12.38,16.93,5.48,93,33
205,Souris,-13.0,49.62,-100.26,20.8,62,20
206,Ubari,50.43,26.59,12.78,7.81,53,0
207,Port-Gentil,80.6,-0.72,8.78,4.7,100,20
208,Kashgar,28.4,39.45,75.98,3.04,74,75
209,Bulawayo,66.63,-20.15,28.58,9.62,77,97
210,Suarez,81.23,2.95,-76.7,4.99,55,82
211,Baie-Comeau,15.57,49.22,-68.15,4.7,92,40
212,Yarim,45.45,14.3,44.38,4.18,28,0
213,Zarate,80.83,-34.1,-59.03,13.87,54,75
214,Tiznit,51.87,29.58,-9.5,2.55,37,100
215,Dergachi,16.2,51.23,48.77,9.93,96,8
216,Punta Cardon,80.6,11.66,-70.22,29.46,75,9
217,Moose Factory,-2.2,51.26,-80.61,5.82,70,90
218,Marquette,27.18,46.53,-87.63,6.93,79,90
219,Bondo,73.11,3.81,23.69,1.32,35,0
220,Muisne,80.6,0.6,-80.03,10.29,88,90
221,Holland,34.32,42.79,-86.11,3.36,93,90
222,Vawkavysk,38.01,53.16,24.45,13.22,68,100
223,Ambikapur,58.69,23.12,83.2,3.44,56,0
224,Bathsheba,82.4,13.22,-59.52,23.04,61,40
225,Ilhabela,79.43,-23.78,-45.36,18.28,79,21
226,Pforzheim,49.46,48.88,8.7,6.93,65,65
227,Garoowe,69.87,8.41,48.48,10.02,39,26
228,Abay,17.6,49.63,72.85,13.42,92,90
229,Novo Aripuana,88.32,-5.12,-60.38,1.16,64,44
230,Kismayo,81.36,-0.36,42.55,19.26,79,32
231,Kalininskaya,33.21,45.48,38.66,6.71,77,3
232,Sahbuz,19.4,39.41,45.57,11.41,79,0
233,Kawambwa,66.96,-9.79,29.08,0.38,90,100
234,Shelburne,35.6,44.08,-80.2,8.05,64,90
235,Faya,50.86,18.39,42.45,3.36,21,0
236,Saint-Augustin,18.57,51.23,-58.65,15.95,72,100
237,Laas,29.07,46.62,10.7,6.93,79,5
238,Wanlaweyn,74.97,2.62,44.89,17.9,59,66
239,Caravelas,79.95,-17.71,-39.25,10.07,79,0
240,Trelew,65.57,-43.25,-65.31,25.28,12,100
241,Mezen,32.34,65.85,44.24,11.88,97,100
242,Beira,80.6,-19.84,34.84,4.7,88,40
243,Cervo,48.94,43.67,-7.41,4.47,90,100
244,Bridgetown,82.4,13.1,-59.62,23.04,61,40
245,Camana,70.81,-16.62,-72.71,10.96,65,16
246,Alekseyevskaya,28.0,50.29,42.18,1.99,83,99
247,Calahorra,37.81,42.31,-1.97,3.36,100,33
248,Camacha,65.19,33.08,-16.33,13.87,77,20
249,Turbat,51.04,26.0,63.04,26.98,30,0
250,Krasnoznamensk,35.47,55.6,37.04,17.9,86,75
251,Mossamedes,75.15,-15.2,12.15,16.04,89,100
252,Pokhara,51.42,28.23,83.98,1.88,81,5
253,Moyale,75.42,3.52,39.06,9.28,44,0
254,Timmins,19.4,48.47,-81.33,6.93,79,90
255,Kelamangalam,60.8,12.6,77.85,3.36,100,20
256,Natal,84.2,-5.79,-35.21,16.11,70,40
257,Manaus,86.0,-3.1,-60.02,3.36,70,75
258,Turhal,39.2,40.39,36.08,2.24,89,40
259,Rocha,75.9,-34.48,-54.33,17.87,74,100
260,Farafenni,79.57,13.57,-15.6,9.4,8,100
261,Birmitrapur,59.47,22.4,84.77,3.13,54,0
